country,language,format,Title,Series Year,Volume Number,Issue Number,Variant Name,Publisher,Imprint,Condition
US,en,ComicBook,Batman (2011),2011,,10,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,11,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,12,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,13,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,14,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,15,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,16,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,17,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,18,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,19,,DC Comics,,NM
US,en,ComicBook,Batman (2011),2011,,20,,DC Comics,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,1,,Marvel,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,2,,Marvel,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,3,,Marvel,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,4,,Marvel,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,5,,Marvel,,NM
US,en,ComicBook,Fantastic Four (1996),1996,,6,,Marvel,,NM
US,en,ComicBook,New Mutants (2003),2003,2,4,,Marvel,Tsunami,VF
US,en,ComicBook,New Mutants (2003),2003,2,5,,Marvel,Tsunami,VF
US,en,ComicBook,New Mutants (2003),2003,2,11,,Marvel,Tsunami,VF
US,en,ComicBook,New Mutants (2003),2003,2,12,,Marvel,Tsunami,VF
US,en,ComicBook,New Mutants (2003),2003,2,13,,Marvel,,VF
US,en,ComicBook,Star Wars (1998),1998,,10,,Dark Horse Comics,,NM
US,en,ComicBook,Star Wars (1998),1998,,11,,Dark Horse Comics,,NM
US,en,ComicBook,Star Wars (1998),1998,,12,,Dark Horse Comics,,NM
US,en,ComicBook,Star Wars (1998),1998,,13,,Dark Horse Comics,,NM
US,en,ComicBook,Star Wars (1998),1998,,14,,Dark Horse Comics,,NM
US,en,ComicBook,Star Wars (1998),1998,,15,,Dark Horse Comics,,NM
US,en,ComicBook,The Savage Dragon (1993),1993,,4,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,5,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,20,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,21,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,30,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,31,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,32,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,33,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,34,,Image Comics,,MT
US,en,ComicBook,The Savage Dragon (1993),1993,,35,,Image Comics,,MT
US,en,ComicBook,The Walking Dead (2003),2003,,4,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,5,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,6,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,7,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,8,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,9,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,16,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,17,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,18,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,19,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,20,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,21,,Image Comics,,GD
US,en,ComicBook,The Walking Dead (2003),2003,,22,,Image Comics,,GD
US,en,ComicBook,Uncanny X-Men (1963),1963,1,141,,Marvel,,NM-
US,en,ComicBook,Uncanny X-Men (1963),1963,1,142,,Marvel,,NM-
US,en,ComicBook,Uncanny X-Men (1963),1963,1,143,,Marvel,,NM-
